store_id,store_name,category_id,category,category_description,item_id,item_name,description,price,original_price,image_filename,image_url,source_url,clean_image_filename,Notes
240502,Armandos Mexican Food,category-222781261,Breakfast Plates,"Classic breakfast fare, served all day.",24580195805,"Ham Plate with Eggs, Cheese, and Potatoes","Includes breakfast ham, scrambled eggs, cheddar cheese, homestyle potatoes, rice, and refried beans. Served with your choice of tortillas or chips.",$11.99_),,ham-plate-ham-egg-cheese-potato-24580195805.jpg,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/6a5b01bd-ad15-42fc-8b79-0f998a8d9d28-retina-large.jpg",https://www.doordash.com/store/armandos-mexican-food-moreno-valley-240502/1730119/consider,ham-plate-ham-egg-cheese-potato-24580195805.jpg,
240502,Armandos Mexican Food,category-222781261,Breakfast Plates,"Classic breakfast fare, served all day.",43896844525,Huevos a la Mexicana,"Scrambled eggs mixed with tomatoes, onions, and green peppers. Served with refried beans, rice, sliced avocado, orange, and cucumber.",$12.99_),,huevos-ala-mexicana-43896844525.jpg,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/9e7ce58f-15aa-46f0-85f4-0510188cd549-retina-large.jpg",https://www.doordash.com/store/armandos-mexican-food-moreno-valley-240502/1730119/consider,huevos-a-la-mexicana-43896844525.jpg,
240502,Armandos Mexican Food,category-222781261,Breakfast Plates,"Classic breakfast fare, served all day.",24579759048,"Original Plate - Bacon, Egg, Cheese, and Potatoes with Rice & Beans","Includes crispy bacon, scrambled eggs, cheddar cheese, homestyle potatoes, rice, and refried beans. Served with your choice of tortillas or chips.",$11.99_),,original-plate-bacon-egg-cheese-potatorice-beans-24579759048.jpg,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/706a5b33-a3de-4317-8dbb-98025ad8b586-retina-large.jpg",https://www.doordash.com/store/armandos-mexican-food-moreno-valley-240502/1730119/consider,original-plate-bacon-egg-cheese-potato-rice-beans-24579759048.jpg,
240502,Armandos Mexican Food,category-222781261,Breakfast Plates,"Classic breakfast fare, served all day.",24580228943,Steak and Eggs Plate with Cheese and Potatoes,"Grilled steak and scrambled eggs with cheddar cheese, homestyle potatoes, rice, and refried beans. Served with your choice of tortillas or chips.",$11.99_),,steak-and-egg-plate-cheese-potato-24580228943.jpg,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/37266370-c814-40fe-a9c9-e29c717e5fed-retina-large.jpg",https://www.doordash.com/store/armandos-mexican-food-moreno-valley-240502/1730119/consider,steak-and-egg-plate-cheese-potato-24580228943.jpg,
240502,Armandos Mexican Food,category-20595915,Breakfast Burritos,Served all day.,5333328467,Bacon and Sausage Burrito,"Crispy bacon, sausage, homestyle potatoes, scrambled eggs, and cheddar cheese wrapped in a soft flour tortilla.",$11.90_),,steak-burrito-198880678.jpg,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/6a9f0d8f-ff0c-4447-ace3-d49a1c1f11ad-retina-large-jpeg",https://www.doordash.com/store/armandos-mexican-food-moreno-valley-240502/1730119/consider,bacon-and-sausage-burrito-5333328467.jpg,
240502,Armandos Mexican Food,category-20595915,Breakfast Burritos,Served all day.,1165791286,Chicken Breakfast Burrito,"Grilled chicken, scrambled eggs, cheddar cheese, and homestyle potatoes wrapped in a soft flour tortilla.",$9.99_),,steak-burrito-198880678.jpg,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/6a9f0d8f-ff0c-4447-ace3-d49a1c1f11ad-retina-large-jpeg",https://www.doordash.com/store/armandos-mexican-food-moreno-valley-240502/1730119/consider,chicken-breakfast-burrito-1165791286.jpg,
240502,Armandos Mexican Food,category-20595915,Breakfast Burritos,Served all day.,198880674,Chorizo Burrito,"Chorizo, scrambled eggs, and cheddar cheese wrapped in a soft flour tortilla.",$11.67_),,steak-burrito-198880678.jpg,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/6a9f0d8f-ff0c-4447-ace3-d49a1c1f11ad-retina-large-jpeg",https://www.doordash.com/store/armandos-mexican-food-moreno-valley-240502/1730119/consider,chorizo-burrito-198880674.jpg,
240502,Armandos Mexican Food,category-20595915,Breakfast Burritos,Served all day.,5772874081,Chorizo Burrito with Beans,"Chorizo, scrambled eggs, cheddar cheese, and refried beans wrapped in a soft flour tortilla.",$11.67_),,original-breakfast-198880673.jpg,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/591adbf3-bd0c-455b-bb66-2020dc1c63bd-retina-large.JPG",https://www.doordash.com/store/armandos-mexican-food-moreno-valley-240502/1730119/consider,chorizo-burrito-with-beans-5772874081.jpg,
240502,Armandos Mexican Food,category-20595915,Breakfast Burritos,Served all day.,1165788874,Chorizo Burrito with Potato,"Chorizo, scrambled eggs, cheddar cheese, and homestyle potatoes wrapped in a soft flour tortilla.",$11.99_),,chorizo-burrito-potatoe-1165788874.jpg,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/372da46f-9552-4eba-9f30-10af68afee76-retina-large.jpg",https://www.doordash.com/store/armandos-mexican-food-moreno-valley-240502/1730119/consider,chorizo-burrito-with-potato-1165788874.jpg,
240502,Armandos Mexican Food,category-20595915,Breakfast Burritos,Served all day.,5333326965,Egg and Cheese Burrito,Scrambled eggs and cheddar cheese wrapped in a soft flour tortilla.,$8.99_),,steak-burrito-198880678.jpg,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/6a9f0d8f-ff0c-4447-ace3-d49a1c1f11ad-retina-large-jpeg",https://www.doordash.com/store/armandos-mexican-food-moreno-valley-240502/1730119/consider,egg-and-cheese-burrito-5333326965.jpg,
